compound_id|flavor_id|flavor_name
16207|44|sweet
16207|59|green
16207|64|rum
16207|81|fruity
16207|89|strawberry
16207|814|tropical
16207|818|tutti frutti
16223|54|woody
16223|684|powdery
16223|744|sandalwood
16225|44|sweet
16225|54|woody
16225|81|fruity
16225|123|bitter
16225|414|cooling
16226|93|alcohol
16226|101|camphoraceous
16226|611|mild cooling
16230|34|rose
16230|42|honey
16230|44|sweet
16230|633|neroli
16230|764|sick
16232|18|fatty
16232|21|spicy
16232|34|rose
16232|54|woody
16232|59|green
16232|236|tea
16239|25|geranium
16239|33|floral
16239|44|sweet
16239|62|brandy
16239|69|apple
16239|81|fruity
16239|848|waxy
16240|33|floral
16240|34|rose
16240|59|green
16240|81|fruity
16240|123|bitter
16240|633|neroli
16240|848|waxy
16241|25|geranium
16241|33|floral
16241|34|rose
16241|44|sweet
16241|59|green
16241|81|fruity
16241|164|fruit
16241|814|tropical
16241|848|waxy
16242|25|geranium
16242|33|floral
16242|34|rose
16242|44|sweet
16242|81|fruity
16242|164|fruit
