compound_id|flavor_id|flavor_name
14802|78|grapefruit
14802|510|grapefruit peel
14809|362|caramellic
14816|37|balsam
14816|44|sweet
14816|54|woody
14816|119|balsamic
14816|250|wood
14816|670|peppery
14817|123|bitter
14822|643|odorless
14842|59|green
14842|78|grapefruit
14842|706|rhubarb
14843|322|blackcurrant
14844|322|blackcurrant
14845|322|blackcurrant
14846|24|gardenia
14846|50|citrus
14846|59|green
14846|162|fresh
14846|632|natural
14847|24|gardenia
14847|54|woody
14847|59|green
14847|78|grapefruit
14847|706|rhubarb
14847|839|vetiver
14850|12|sage
14850|33|floral
14850|81|fruity
14850|236|tea
14850|403|clary
14850|531|herbal
14850|739|saffron
14851|81|fruity
14851|162|fresh
14851|176|leaf
14851|199|oil
14851|346|buchu
14851|404|clean
14851|632|natural
14852|42|honey
14852|59|green
14852|72|berry
14852|172|herb
14852|190|mint
14852|531|herbal
14853|59|green
14853|78|grapefruit
14853|370|cassis
14853|531|herbal
14853|727|rose oxide
14856|35|violet
14856|50|citrus
14856|54|woody
14856|59|green
14856|110|soapy
14856|162|fresh
14856|510|grapefruit peel
14864|172|herb
14864|531|herbal
14882|460|ethereal
14883|131|burnt
14883|711|roasted
14887|21|spicy
14887|44|sweet
14887|102|tobacco
14887|162|fresh
14887|172|herb
14887|531|herbal
14887|605|metallic
14887|675|phenolic
14887|730|rosemary
14888|123|bitter
14894|33|floral
14894|44|sweet
14894|162|fresh
14894|287|angelica
14894|579|linden
14894|610|mild
14898|30|lavender
14898|44|sweet
14898|47|lime
14898|50|citrus
14898|59|green
14898|250|wood
14898|317|bergamot
14898|531|herbal
14898|625|myrrh
14898|633|neroli
14900|88|raspberry
14900|550|jammy
14902|44|sweet
14902|72|berry
14902|135|camphor
14913|44|sweet
14913|59|green
14913|162|fresh
14913|190|mint
14913|229|spice
14913|426|cumin
14913|512|grassy
14913|531|herbal
14914|54|woody
14914|59|green
14914|103|minty
14914|105|medicinal
14914|414|cooling
14914|512|grassy
14914|531|herbal
